source,target,target_in_inventory
https://immigratetobrazil.com/brazil/cities/belem/,https://immigratetobrazil.com/brazil/cities/manaus/,True
https://immigratetobrazil.com/brazil/cities/belem/,https://immigratetobrazil.com/brazil/cities/palmas/,True
https://immigratetobrazil.com/brazil/cities/belem/,https://immigratetobrazil.com/brazil/cities/porto-velho/,True
https://immigratetobrazil.com/brazil/cities/belem/,https://immigratetobrazil.com/process/planning/,True
https://immigratetobrazil.com/brazil/cities/belem/,https://immigratetobrazil.com/services/advisory/corporate/,True
https://immigratetobrazil.com/brazil/cities/belem/,https://immigratetobrazil.com/services/residencies/,True
https://immigratetobrazil.com/brazil/cities/belem/,https://immigratetobrazil.com/services/residencies/nomad/,True
https://immigratetobrazil.com/brazil/cities/belem/,https://immigratetobrazil.com/start-consultation/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/about/lawyer/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/brazil/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/brazil/cities/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/brazil/cities/belo-horizonte/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/brazil/cities/rio-de-janeiro/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/brazil/cities/sao-paulo/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/brazil/cities/vitoria/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/process/planning/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/services/advisory/corporate/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/services/residencies/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/services/residencies/nomad/,True
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,https://immigratetobrazil.com/start-consultation/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/about/lawyer/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/brazil/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/brazil/cities/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/brazil/cities/belem/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/brazil/cities/boa-vista/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/brazil/cities/manaus/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/brazil/cities/palmas/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/process/planning/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/services/advisory/corporate/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/services/residencies/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/services/residencies/nomad/,True
https://immigratetobrazil.com/brazil/cities/boa-vista/,https://immigratetobrazil.com/start-consultation/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/about/lawyer/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/brazil/,True
https://immigratetobrazil.com/brazil/cities/brasilia/,https://immigratetobrazil.com/brazil/cities/,True
